SEL SHELLSEL cid   182418 id   15 ele DKT_CST  nodes  28616 28127 28128
SEL SHELLSEL cid   182419 id   15 ele DKT_CST  nodes  28616 28128 28615
SEL SHELLSEL cid   182420 id   15 ele DKT_CST  nodes  28583 28160 28161
SEL SHELLSEL cid   182421 id   15 ele DKT_CST  nodes  28583 28161 28582
SEL SHELLSEL cid   182422 id   15 ele DKT_CST  nodes  28143 28202 28203
SEL SHELLSEL cid   182423 id   15 ele DKT_CST  nodes  28143 28203 28144
SEL SHELLSEL cid   182424 id   15 ele DKT_CST  nodes  28590 28153 28154
SEL SHELLSEL cid   182425 id   15 ele DKT_CST  nodes  28590 28154 28589
SEL SHELLSEL cid   182426 id   15 ele DKT_CST  nodes  28176 28235 28236
SEL SHELLSEL cid   182427 id   15 ele DKT_CST  nodes  28176 28236 28177
SEL SHELLSEL cid   182428 id   15 ele DKT_CST  nodes  28177 28236 28237
SEL SHELLSEL cid   182429 id   15 ele DKT_CST  nodes  28177 28237 28178
SEL SHELLSEL cid   182430 id   15 ele DKT_CST  nodes  28565 28178 28179
SEL SHELLSEL cid   182431 id   15 ele DKT_CST  nodes  28565 28179 28564
SEL SHELLSEL cid   182432 id   15 ele DKT_CST  nodes  28593 28150 28151
SEL SHELLSEL cid   182433 id   15 ele DKT_CST  nodes  28593 28151 28592
SEL SHELLSEL cid   182434 id   15 ele DKT_CST  nodes  28608 28135 28136
SEL SHELLSEL cid   182435 id   15 ele DKT_CST  nodes  28608 28136 28607
SEL SHELLSEL cid   182436 id   15 ele DKT_CST  nodes  28169 28228 28229
SEL SHELLSEL cid   182437 id   15 ele DKT_CST  nodes  28169 28229 28170
SEL SHELLSEL cid   182438 id   15 ele DKT_CST  nodes  28164 28223 28224
SEL SHELLSEL cid   182439 id   15 ele DKT_CST  nodes  28164 28224 28165
SEL SHELLSEL cid   182440 id   15 ele DKT_CST  nodes  28140 28199 28200
SEL SHELLSEL cid   182441 id   15 ele DKT_CST  nodes  28140 28200 28141
SEL SHELLSEL cid   182442 id   15 ele DKT_CST  nodes  28549 28548 34647
SEL SHELLSEL cid   182443 id   15 ele DKT_CST  nodes  28549 34647 28480
